tconst,ordering,nconst,category,job,characters
tt10924250,5,nm0006795,self,\N,"[""Self - Host""]"
tt10924260,3,nm0006795,self,\N,"[""Self - Host""]"
tt10924284,2,nm0006795,self,\N,"[""Self - Host""]"
tt10933774,21,nm0006795,producer,producer,\N
tt10936832,19,nm0006795,producer,producer,\N
tt10937118,21,nm0006795,producer,producer,\N
tt10937124,21,nm0006795,producer,producer,\N
tt1094158,1,nm0451321,self,\N,"[""Self - Host""]"
tt10959010,2,nm17099001,actor,\N,"[""Cop""]"
tt10959024,2,nm17099001,actor,\N,"[""Cop""]"
tt10959026,2,nm17099001,actor,\N,"[""Cop""]"
tt10959028,2,nm17099001,actor,\N,"[""Cop""]"
tt10959038,2,nm17099001,actor,\N,"[""Cop""]"
tt11000506,18,nm0006795,producer,producer,\N
tt11000508,20,nm0006795,producer,producer,\N
tt11010054,1,nm0451321,self,\N,"[""Self""]"
tt11033946,1,nm0006795,self,\N,"[""Self - Host""]"
tt1105747,1,nm0006795,actor,\N,"[""Deven Y. Yuvvraaj Singh""]"
tt1114725,7,nm0006795,actor,\N,"[""Hav. Balkar Singh""]"
tt1114725,8,nm0006795,actor,\N,"[""Lt. Jaswinder 'Jassi' Singh""]"
tt1115312,8,nm0451321,self,\N,"[""Self - Guest""]"
tt11160788,17,nm0006795,producer,producer,\N
tt11160804,20,nm0006795,producer,producer,\N
tt11167264,18,nm0006795,producer,producer,\N
tt11181304,7,nm0006795,self,\N,"[""Self - Host""]"
tt11181368,7,nm0006795,self,\N,"[""Self - Host""]"
tt11183438,17,nm0006795,producer,producer,\N
tt11183448,20,nm0006795,producer,producer,\N
tt11183488,19,nm0006795,producer,producer,\N
tt11183492,19,nm0006795,producer,producer,\N
tt11183616,20,nm0006795,producer,producer,\N
tt11186498,6,nm0006795,self,\N,"[""Self - Host""]"
tt11194030,1,nm0451321,self,\N,"[""Self - Host""]"
tt11194048,1,nm0451321,self,\N,"[""Self - Host""]"
tt11199394,17,nm0006795,producer,producer,\N
tt11225042,1,nm0006795,self,\N,"[""Self - Host""]"
tt11230678,2,nm0006795,self,\N,"[""Self""]"
tt11230728,2,nm0451321,self,\N,"[""Self""]"
tt11230738,2,nm0006795,self,\N,"[""Self""]"
tt11231142,2,nm0006795,self,\N,"[""Self""]"
tt11231616,17,nm0006795,producer,producer,\N
tt11231706,20,nm0006795,producer,producer,\N
tt11269580,1,nm0006795,self,\N,"[""Self - Host""]"
tt11271532,19,nm0006795,producer,producer,\N
tt11271614,16,nm0006795,producer,producer,\N
tt11301628,1,nm0451321,self,\N,"[""Self - Host""]"
tt11301632,1,nm0451321,self,\N,"[""Self - Host""]"
tt11301634,1,nm0451321,self,\N,"[""Self - Host""]"
tt11301636,1,nm0451321,self,\N,"[""Self - Host""]"
tt11301638,1,nm0451321,self,\N,"[""Self - Host""]"
tt11301640,1,nm0451321,self,\N,"[""Self - Host""]"
tt11330094,1,nm0006795,self,\N,"[""Self - Host""]"
tt11330128,1,nm0006795,self,\N,"[""Self - Host""]"
tt11330150,9,nm0006795,self,\N,"[""Self - Host""]"
tt11330194,1,nm0006795,self,\N,"[""Self - Host""]"
tt11330208,1,nm0006795,self,\N,"[""Self - Host""]"
tt11330218,1,nm0006795,self,\N,"[""Self - Host""]"
tt11333304,1,nm0451321,self,\N,"[""Self - Host""]"
tt11346598,20,nm0006795,producer,producer,\N
tt11346834,20,nm0006795,producer,producer,\N
tt11347290,20,nm0006795,producer,producer,\N
