nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,tconst,ordering,category,job,characters,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0415908,13,producer,producer,\N,movie,Kaal,Kaal,0,2005,\N,126,"Adventure,Horror,Mystery",4.7,6277
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0420332,1,actor,\N,"[""Veer Pratap Singh""]",movie,Veer-Zaara,Veer-Zaara,0,2004,\N,192,"Drama,Family,Musical",7.8,59810
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0449999,1,actor,\N,"[""Dev Saran""]",movie,Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Kehna,0,2006,\N,193,"Drama,Romance",6.1,22839
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0451850,1,actor,\N,"[""Kishan Laal""]",movie,Paheli,Paheli,0,2005,\N,140,"Comedy,Drama,Fantasy",6.4,14773
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0451850,2,actor,\N,"[""Prem The Ghost (Dual Role)""]",movie,Paheli,Paheli,0,2005,\N,140,"Comedy,Drama,Fantasy",6.4,14773
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0451850,17,producer,producer,\N,movie,Paheli,Paheli,0,2005,\N,140,"Comedy,Drama,Fantasy",6.4,14773
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0461936,1,actor,\N,"[""Mark Donald (Don)""]",movie,Don,Don,0,2006,\N,171,"Action,Crime,Thriller",7.2,42411
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0461936,2,actor,\N,"[""Vijay Pal""]",movie,Don,Don,0,2006,\N,171,"Action,Crime,Thriller",7.2,42411
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0772737,7,self,\N,"[""Self""]",movie,Bollywood Remixed - Das indische Kino erobert den Westen,Bollywood Remixed - Das indische Kino erobert den Westen,0,2004,\N,77,Documentary,5.0,670
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0806088,8,actor,\N,"[""Raj Malhotra""]",movie,Heyy Babyy,Heyy Babyy,0,2007,\N,144,"Comedy,Drama",6.1,16717
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0857381,10,actor,\N,"[""Street Guitarist""]",movie,I See You,I See You,0,2006,\N,122,"Comedy,Drama,Fantasy",4.4,1244
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0871510,1,actor,\N,"[""Kabir Khan""]",movie,Chak De! India,Chak De! India,0,2007,\N,153,"Drama,Family,Sport",8.1,87246
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt0991346,7,actor,\N,"[""Aditya Sharma""]",movie,Bhoothnath,Bhoothnath,0,2008,\N,150,"Comedy,Drama,Family",6.4,12256
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt10230422,15,producer,producer,\N,movie,Class of '83,Class of 83,0,2020,\N,98,"Crime,Drama,Thriller",5.8,6110
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1024943,1,actor,\N,"[""Om Prakash Makhija""]",movie,Om Shanti Om,Om Shanti Om,0,2007,\N,162,"Action,Comedy,Drama",6.8,52513
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1024943,2,actor,\N,"[""Om Kapoor""]",movie,Om Shanti Om,Om Shanti Om,0,2007,\N,162,"Action,Comedy,Drama",6.8,52513
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1024943,18,producer,producer,\N,movie,Om Shanti Om,Om Shanti Om,0,2007,\N,162,"Action,Comedy,Drama",6.8,52513
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1182884,6,actor,\N,"[""Pawan Raj Gandhi""]",movie,Dulha Mil Gaya,Dulha Mil Gaya,0,2010,\N,152,"Comedy,Drama,Romance",4.3,2889
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1182884,7,actor,\N,"[""PRG""]",movie,Dulha Mil Gaya,Dulha Mil Gaya,0,2010,\N,152,"Comedy,Drama,Romance",4.3,2889
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1182937,1,actor,\N,"[""Surinder 'Suri' Sahni""]",movie,Rab Ne Bana Di Jodi,Rab Ne Bana Di Jodi,0,2008,\N,167,"Comedy,Drama,Music",7.2,56118
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1182937,2,actor,\N,"[""Raj Kapoor""]",movie,Rab Ne Bana Di Jodi,Rab Ne Bana Di Jodi,0,2008,\N,167,"Comedy,Drama,Music",7.2,56118
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1188996,1,actor,\N,"[""Rizvan Khan""]",movie,My Name Is Khan,My Name Is Khan,0,2010,\N,165,"Drama,Romance",7.9,119700
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt12844910,1,actor,\N,"[""Pathaan""]",movie,Pathaan,Pathaan,0,2023,\N,146,"Action,Adventure,Thriller",5.8,160803
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1285241,1,actor,\N,"[""Don""]",movie,Don 2,Don 2,0,2011,\N,148,"Action,Crime,Thriller",7.1,59904
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1285241,17,producer,producer,\N,movie,Don 2,Don 2,0,2011,\N,148,"Action,Crime,Thriller",7.1,59904
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt13766102,1,self,\N,"[""Self""]",movie,Making of the Film - Jab Tak Hai Jaan,Making of the Film - Jab Tak Hai Jaan,0,2014,\N,\N,Documentary,7.1,17
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1475415,9,self,\N,"[""Self""]",movie,Sunset Bollywood,Sunset Bollywood,0,2005,\N,60,Documentary,7.0,683
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt15354916,1,actor,\N,"[""Vikram Rathore""]",movie,Jawan,Jawan,0,2023,\N,169,"Action,Crime,Drama",6.9,104732
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt15354916,2,actor,\N,"[""Azad""]",movie,Jawan,Jawan,0,2023,\N,169,"Action,Crime,Drama",6.9,104732
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1562871,1,actor,\N,"[""Shekhar Subramanium""]",movie,Ra.One,Ra.One,0,2011,\N,156,"Action,Sci-Fi,Thriller",4.9,48934
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1562871,2,actor,\N,"[""G.One""]",movie,Ra.One,Ra.One,0,2011,\N,156,"Action,Sci-Fi,Thriller",4.9,48934
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,music_department","tt1285241,tt1188996,tt0238936,tt2176013",tt1773042,9,self,\N,"[""Self""]",movie,Shahrukh Bola 'Khoobsurat Hai Tu'... And She Believed in It,Shahrukh Bola 'Khoobsurat Hai Tu'... And She Believed in It,0,2010,\N,89,"Comedy,Drama",4.5,1071
